"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","SM-G930F"
"deviceBrand","samsung"
"deviceBoard","universal8890"
"deviceManufacturer","samsung"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","8.0.0"
"accelerometer Name","K6DS3TR Acceleration Sensor"
"accelerometer Vendor","STM"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.25"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023942017"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","6.0"
"linear_acceleration Version","3"
"gyroscope Name","K6DS3TR Gyroscope Sensor"
"gyroscope Vendor","STM"
"gyroscope Range","17.453293"
"gyroscope Resolution","6.1086525E-4"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","200000"
"gyroscope Power","6.1"
"gyroscope Version","2"
"magnetic_field Name","YAS537 Magnetic Sensor"
"magnetic_field Vendor","Yamaha Corporation"
"magnetic_field Range","1200.0"
"magnetic_field Resolution","0.1"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","6.0"
"magnetic_field Version","1"
"pressure Name","LPS25H Barometer Sensor"
"pressure Vendor","STMicroelectronics"
"pressure Range","1260.0"
"pressure Resolution","2.4414062E-4"
"pressure MinDelay","100000"
"pressure MaxDelay","1000000"
"pressure Power","1.0"
"pressure Version","1"
"light Name","TMD49XX lux Sensor"
"light Vendor","AMS, Inc."
"light Range","60000.0"
"light Resolution","1.0"
"light MinDelay","200000"
"light MaxDelay","200000"
"light Power","0.75"
"light Version","1"
"proximity Name","TMD49XX Proximity Sensor"
"proximity Vendor","AMS, Inc."
"proximity Range","8.0"
"proximity Resolution","8.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector"
"attitude Vendor","Samsung Electronics"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","200000"
"attitude Power","6.0"
"attitude Version","1"
